,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"
                    Bounden Duty
                ","
               I got a call from the White House, from the
President himself, asking me if I’d do him a personal
favor. I like the President, so I said, “Sure, Mr.
President, anything you like.” He said, “Just act
like nothing’s going on. Act normal. That would
mean the world to me. Can you do that, Leon?” “Why,
sure, Mr. President, you’ve got it. Normal, that’s
how I’m going to act. I won’t let on, even if I’m
tortured,” I said, immediately regretting that “tortured”
bit. He thanked me several times and hung up. I was
dying to tell someone that the President himself called
me, but I knew I couldn’t. The sudden pressure to
act normal was killing me. And what was going on
anyway. I didn’t know anything was going on. I
saw the President on TV yesterday. He was shaking
hands with a farmer. What if it wasn’t really a
farmer? I needed to buy some milk, but suddenly
I was afraid to go out. I checked what I had on.
I looked “normal” to me, but maybe I looked more
like I was trying to be normal. That’s pretty
suspicious. I opened the door and looked around.
What was going on? There was a car parked in front
of my car that I had never seen before, a car that
was trying to look normal, but I wasn’t fooled.
If you need milk, you have to get milk, otherwise
people will think something’s going on. I got into
my car and sped down the road. I could feel those
little radar guns popping behind every tree and bush,
but, apparently, they were under orders not to stop
me. I ran into Kirsten in the store. “Hey, what’s
going on, Leon?” she said. She had a very nice smile.
I hated to lie to her. “Nothing’s going on. Just
getting milk for my cat,” I said. “I didn’t know
you had a cat,” she said. “I meant to say coffee.
You’re right, I don’t have a cat. Sometimes I
refer to my coffee as my cat. It’s just a private
joke. Sorry,” I said. “Are you all right?” she
asked. “Nothing’s going on, Kirsten. I promise
you. Everything is normal. The President shook
hands with a farmer, a real farmer. Is that such
a big deal?” I said. “I saw that,” she said, “and
that man was definitely not a farmer.” “Yeah, I
know,” I said, feeling better.
 
",James Tate,"Humor & Satire,History & Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"
                    History
                ","
Of course wars, of course lice, of course limbs on opposing sides
to remind a body about ambivalence, of course orphans and empty beds and eyes
exiled for blinking in the harsh light. Of course Khrushchev gave Crimea
to the Ukraine in a blind drunk, and yes, land mines and burning skin
and of course organs, some members dismembered
to shake at strangers and their evil, and there is no way
to imagine that a man shaking a dried penis would ever utter the word darling.
Of course personal, add starch for pain, add bluing, of course hang
the laundry in the basement, there are thieves in the backyard, of course
departing trains, carload after carload of sorrow,
the man on top of a boxcar waving,
his rifle silhouetted against the white sky, its color draining
the way warmth left the Bosnian after he’d burned the last page of the last book,
knowing he had reached the end of something though it was not end enough.
Of course kisses, the stages of kissing like running borders,
endless conversations, stations of the cross, till even the promise of kissing bores you,
of course teeth gnashing, ethnic cleansing. The cynical will shrug off the past,
the future, the whole left hip of Ecuador slashed for six days of oil,
of course an X on the coats of the sick so they would stand apart
for deportation, of course rogue tumors over the body politic,
the same bodies that took Egyptian mummies and powdered them
to use as food seasoning, bon vivant cannibalism,
and yes civilized men tossed living penguins into furnaces to fuel their ships.
Of course partitions so that after the new territories were defined,
families had to line up on a cliff with bullhorns
to talk to their people on the other side,
of course courage, at times a weapon against yearning, surrender another,
a mother of course goes on setting the table, even if it’s with broken plates,
and a friend will say gently of course I want to ride with you to the funeral,
of course of course of course of course,
now then, negotiations, whatever,
palisades, the end of whimsy,
but then one evening though it is wartime,
a man climbs the hill to an amphitheater to play his cello at twilight
and history stops talking for a moment and sighs
while the melancholy of Albinoni
passes from heart to heart and each lifts a little,
the way passing a baby around a room can be sacramental,
and the memories of simple pleasures become more beautiful, the memory
of your joy on a highway to see in the next lane in a neighboring car
a clown take off his nose at the end of the day, the memory
of how your mother laid roses, sweetheart roses, on the cold grate of the fireplace,
and the sudden rain one afternoon in fall after you’d hiked far into the dells
and you huddled deep in your overcoat in the wet,
waiting out the storm with a sheep
that had come up to lean against your side
like a rock.
 
",Barbara Ras,"History & Politics,War & Conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"
                    What It Was Like
                ","
If they ask what it was like, say it was like the sea
rolling barrels of itself at you in the shadowless light of the shore,
say it was like a spider, black as night, large as a campesino’s hand,
a deepness that could balance a small world of dirt as easily as a gift
of gleaming red tomatoes held out to you eight at a time.
If they ask you how it felt, say solitary,
at first the ease of sleeping alone, warm without even a sheet,
then the nonchalance of a dirt road leading down the hill, its dust
raised and re-raised in plumes as each guest departed,
and later, say it was like the blind cat that came out of nowhere
to lie on your tile floor, lifting its face to stare with white marble eyes.
If they ask what you heard, tell them the single note of the watchman,
who coughed his one syllable when you went to bed,
and at the end of every dream when you woke with a simple plea—stay, go—again, the cough of the watchman.
If they ask about thirst, tell them no one could carry water as far
as it had to go, so that when it was time to rest,
people went to the spigot at the edge of the train tracks
and cupped their hands under the water, lowering their faces to drink.
Tell them a man could stand at noon in the park wearing nothing but underwear
and beg for hours with his cup empty.
Tell them you could sit quietly while phrases you didn't know you knew 
rose up in the language there and on an undisturbed lake in your mind 
you could back float—that weightless prayer that prays Let me die with my toes pointing up at the sun.
When they ask what people will eventually get around to asking, 
How was the food? Tell them batata, mamón, guanábana, maní,
indigenous crops exchanging places with hunger,
giving up to the dark store window whose inventory is one hand
of bananas sold one banana at a time, giving up to little pyramids of limes
by the side of the road and the kids who tend them, dreaming
of a few coins tossed down in the dirt.
 
",Barbara Ras,Money & Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"
                    All
                ","
The prisoner can’t go any longer, but he does.
The beggar can’t go on begging, but watch—
Tomorrow he’ll be in the alley, holding out a bowl
To everyone, to even a young, possibly poorer, child.
The mother can’t go on believing,
But she will kneel for hours in the cathedral,
Holding silence in her arms.
The rain goes on, daily, sometimes, and we cry,
As often as not alone.
The fishmonger, the bell ringer, the cook, each
Can be corrupted in a less than dire way.
Nothing can replace the sea breezes you were born to.
Nothing can stay the shy ache in the palm
you hold out to the fortune-teller.
The concrete lions on her steps go on
Making bloodless journeys, they go on
Hunting in air longer than any of you will live to watch,
Hunting still after your futures become all irises
and blamelessness.
 
",Barbara Ras,"Life Choices,Faith & Doubt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"
                    Sleeping with Butler’s Lives of the Saints
","



After Octavio Paz



What’s most human must drive
an arrow to the heart.
 
Ghosts, too, must abide by this directive
& remain transparent,
 
going about their business in old houses.
Before I was an I, I longed to be ethereal.
 
Sprouting wings at will & gliding through
cul-de-sacs and malls around the valley.
 
My hands, too, would gradually disappear
followed by my arms, then neck & head
 
until my whole body was slight as allergen.
Before I was an I, I spoke an old language
 
that would return on drowsy afternoons.
Therefore I struggled to say
 
the simplest sentences. So much so
that the maligned semicolon
 
became an ardent ally, an island
of pause and the deep breath.
 
The comma, too, bless its tiny soul,
was the crumb which the god
 
of small favors multiplied
tenfold for my morning pie.
 
Before I was an I, knowledge
clung to me like burrs & hunger
 
guided my ship like the barefoot light                on the sleeping land & sea.
 
",Eugene Gloria,"Language & Linguistics,Poetry & Poets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"
                    Hoodlum Birds
                ","
The fearless blackbirds see me again
at the footpath beside the tall grasses
sprouting like unruly morning hair.
They caw and caw like vulgar boys
on street corners making love to girls
with their “hey mama
this” and their “hey mama that.”
But this gang of birds is much too slick.
They are my homeys of the air
with their mousse-backed hair and Crayola
black coats like small fry hoods who smoke
and joke about each other’s mothers,
virginal sisters, and the sweet arc of revenge.
These birds spurn my uneaten celery sticks,
feckless gestures, ineffective hosannas.
They tag one another, shrill and terrible,
caroling each to each my weekly wages.
But they let me pass, then flit away.
They won’t mess with me this time—
they know where I live.
 
",Eugene Gloria,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"
                    Wilde's Tomb
                ","



But these, thy lovers are not dead.…They will rise up and hear your voice. . .. and run to kiss your mouth.
         –The Sphinx



In the garden of Père Lachaise,
city of the dead, we passed angels
covering their faces in shame,
& nineteenth-century trees, with tops bowed
as if their only purpose was to grieve,
& crossed the Transversales to Wilde’s grave.
 
When lovers leave, they leave their kisses
glistening on the gray slab,
on impressions of lips themselves,
a tissue of strangers’ cells
the conservators cannot leave alone,
& scrub the graffiti, as the plaque decrees
by law, no one can deface this tomb,
& still the images of lips remain,
dark gray stains of animal fat
imprisoned in limestone.
 
Lips are pressed as high as lovers
climb, against the Sphinx’s ridiculous
headdress, on the carved trumpet
of fame, & on the cheeks of its voracious face
of mindless passion flying with eyes pinched tight,
that some farsighted lover tried to open
with lines from a red pen, like a blepharoplasty,
while others kissed its sybaritic mouth
to make a poem a prophecy.
 
So here is love alive
surviving the wreckage it survives,
a lipstick envelope of hearts on their flight
to some other place, less aware,
more receiving, a final Champ de Grâce.
 
",Michael Gessner,Poetry & Poets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"
                    The Poem of Death
                ","
This is the poem of death.
There is only one
and no other.
 
Every one is an occasion,
one way or another,
and the last poem is this poem of death.
 
It is an occasion like no other.
I will no longer lope after elegance,
beauty’s body, or love’s wonder.
 
I will be sorry for everything
I was, and for everything I was not.
I speak to you as if you were my brother.
 
I will forgive everyone.
Death will make this possible.
There will be no other.
 
Death was in the mind
before thought or love,
in ourselves, and in our lovers.
 
The poem of death is speechless.
A companion will appear again
like another self, like your brother.
 
Enough now, enough has been said.
The spinning leaf will spin
like no other.
 
",Michael Gessner,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"
                    The Innocents at Sandy Hook
                ","
Nothing can reach you now, not lead or steel,
or what life itself eventually reveals.
 
No more studies of kindness or courtesy,
nor grace or charity, all is needless now.
 
All is needless now, sky, world, family
grieving for their bundles of purity,
 
now beyond disgrace, failure, winter streets,
or whatever attacks, and then retreats.
 
Classrooms emptied of children’s things,
paper and paste, and love’s imaginings,
 
bundles of peace, Christmas-blessed
with the unborn and the dead at rest,
 
nothing can reach you now, not lead or steel
or what life itself eventually reveals.
 
",Michael Gessner,Sorrow & Grieving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"
                    Fiddlers at the Desert Valley County Care Center
                ","
Among physicians rich in their death watch
In hallways crowded with locked wheelchairs,
Cradles of a century’s platitudes,
The stale air smelling of disinfectant
And weeping wounds enough to stupefy nurses,
Among the staring insomniacs of the day room,
The stroke victims on their rented gurneys,
Complaining orderlies and rattling carts
 
Among these in this place my father lay
At the end of everything
 
In the curved landscapes of white sheets
Abandoned finally by parents, his son,
 
The loyal company, old friends, his death
A sign of other deaths too soon to come
 
Unable to recall one life, his thoughts,
Features, he lay unknown to himself,
 
The tall hunter of pheasants out with his boy
In vellum corn and brassy orchards
 
In an autumn that never was, the proud
White-collared Ford employee lay on a bed
 
Too short for legs tattooed with red burn-rings
From daily syringes of Cytosar
 
Considered useless, still a requirement
For state funding for a body described
 
Leukemic waiting for Saturday's fiddlers
Who came to raise the spirits of the dead
 
With a music he never cared for turned
Suddenly attractive, he found genius,
 
Theirs or his like some lyrical phosphor
That shapes itself in the dry night air
 
To make a thing then make it disappear
He lay listening to the county fiddlers
 
At the end of every purpose, act and form
I leave you here, my father, in perfect accord.
 
",Michael Gessner,"Death,Sorrow & Grieving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"
                    Face
                ","
Imagine half your face
rubbed out yet
you are suited up
and walking
to the office.
 
How will your mates
greet you?
with heavy hearts,
flowers,
rosary beads?
How shall we greet
the orphan boy,
the husband whose hand
slipped, children
and wife swept away?
 
How to greet
our new years
and our birthdays?
Shall we always
light a candle?
 
Do we remember
that time erases
the shore, grass
grows, pain’s
modified?
 
At Hikkaduwa
in 1980 I wrote a ditty,
a sailor’s song
about rain
in sunny Ceylon.
 
I don’t know
what Calypsonians
would compose
about this monstrous
wave, this blind hatchet man;
 
don’t know
the Baila singers’ reply;
we are a “happy and
go” people
yet the fisherman’s wife
 
knows
that her grandfather
was eaten by the ocean—
fisher communities
have suffered in time
 
and what’s happened
now is just another feast
for that bloody,
sleeping mother
lapping at our island;
 
but what if the ocean
were innocent,
the tectonic plates
innocent, what if God
were innocent?
 
               *
 
I do not know
how to walk upon the beach,
how to lift corpse
after corpse
until I am exhausted,
 
how to stop the tears
when half my face
has been rubbed out
beyond
the railroad tracks
 
and this anaesthetic,
this calypso come
to the last verse.
What shall we write
in the sand?
 
Where are gravestones
incinerated? Whose
ashes are these urned
and floating through a house
throttled by water?
 
Shall we build
a memorial
some calculated distance
from the sea, in a park,
in the shape of a giant wave
 
where we can write
the names of the dead?
Has the wave lost
its beauty? Is it now
considered obscene?
 
               *
 
Yet tomorrow
we must go to the ocean
and refresh ourselves
in the sea breeze
down in Hikkaduwa
 
where it is raining
in sunny Ceylon.
Tomorrow, we must
renew our vows
at sunrise, at sunset.
 
Let us say the next time
the ocean recedes
and parrots gawk
and flee, and restless
dogs insist their humans
 
wake up, we will not peer
at the revelation
of the ocean bed,
nor seek photographs.
We will run to higher ground,
 
and gathered there
with our children,
our cats, dogs,
pigs, with what we’ve
carried in our hands
 
—albums, letters—
we will make a circle,
kneel, sit,
stand in no particular
direction, pray
 
and be silent,
open our lungs
and shout thanks
to our gods
thanks to our dogs.
 
",Indran Amirthanayagam,Sorrow & Grieving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
